ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
EUCA3,103,0.0032,0.4945,13.5922,1.1349,1.1082,0.0032,0.4945,13.5922,0.0091,0.9587,0.0,-0.0,0.0161,0.8116,0.8112,0.9515
EUCA4,103,-0.0317,0.0327,91.2621,0.6955,0.8278,-0.0317,0.0327,91.2621,0.0,1.0,0.0,0.0821,0.2302,0.9825,0.9803,0.7463
EVEN3,103,-0.0548,0.3145,34.9515,0.2223,0.1117,-0.0548,0.3145,34.9515,0.2584,0.9674,0.0,0.0518,0.119,0.9746,0.9683,0.0
EZTC3,103,-0.4228,0.1338,52.4272,0.2687,0.3084,-0.4228,0.1338,52.4272,0.0,1.0,0.0,-0.1226,-0.0319,0.9974,0.9975,0.0
FESA3,103,-0.0581,0.234,47.5728,0.7451,0.1968,-0.0581,0.234,47.5728,0.0,1.0,0.0,0.0721,0.1301,0.9708,0.9722,0.9701
FESA4,103,-0.1707,0.1925,65.0485,1.0348,0.861,-0.1707,0.1925,65.0485,0.0,1.0,0.0,0.0333,0.018,0.9606,0.9606,0.0
FHER3,103,-0.7602,0.0173,92.233,0.087,0.1144,-0.7602,0.0173,92.233,0.0,1.0,0.0,0.7083,1.1784,0.9673,0.9908,0.4179
FLRY3,103,-0.4514,0.095,68.932,0.598,0.4254,-0.4514,0.095,68.932,0.0,1.0,0.0,-0.0622,-0.0825,0.9856,0.9858,0.0
FRAS3,103,-0.0482,0.1844,61.165,0.6106,0.4592,-0.0482,0.1844,61.165,0.0864,0.852,1.9417,0.0555,0.0284,0.9853,0.9739,0.2164
GEPA3,103,-0.1468,0.3932,41.7476,0.7641,0.5073,-0.1468,0.3932,41.7476,0.0072,0.9669,0.0,0.2024,0.1333,0.9466,0.9427,0.9925
GEPA4,103,-4.594,0.7528,17.4757,0.3262,0.0129,-4.594,0.7528,17.4757,0.0104,0.8752,0.0,0.1867,0.5224,0.9568,0.9626,0.9739
GFSA3,103,0.1044,0.6016,8.7379,1.1398,1.0517,0.1044,0.6016,8.7379,32.3072,0.5246,47.5728,0.0533,0.0271,0.8498,0.8187,0.0
GGBR3,103,-0.386,0.412,30.0971,0.5635,0.1211,-0.386,0.412,30.0971,0.0,1.0,0.0,-0.0689,0.0691,0.9966,0.9966,0.0821
GGBR4,103,-0.1556,0.3043,42.7184,0.1149,0.055,-0.1556,0.3043,42.7184,0.0,1.0,0.0,-0.0541,-0.0405,0.9926,0.9927,0.0
GMAT3,103,-0.3448,0.1747,49.5146,0.3853,0.5519,-0.3448,0.1747,49.5146,0.0094,0.9888,0.0,0.0584,0.1015,0.9848,0.985,0.0037
GOAU4,103,-0.1312,0.4832,23.301,0.2562,0.1449,-0.1312,0.4832,23.301,0.0,1.0,0.0,-0.1225,-0.0084,0.9941,0.9942,0.0
GRND3,103,-0.0446,0.3119,29.1262,0.043,-0.0799,-0.0446,0.3119,29.1262,0.0,1.0,0.0,0.039,0.0817,0.9865,0.9865,0.0
GSHP3,103,-0.167,0.7813,21.3592,1.0683,1.0617,-0.167,0.7813,21.3592,0.0073,1.0,0.0,0.3007,0.2899,0.6916,0.6227,0.9925
HAGA3,103,-0.004,0.3183,38.835,0.6559,0.7673,-0.004,0.3183,38.835,0.0463,0.9428,0.0,0.1739,0.2112,0.9412,0.9363,0.9627
HAGA4,103,0.0188,0.3517,17.4757,-0.256,-0.3205,0.0188,0.3517,17.4757,0.0,1.0,0.0,0.359,0.4095,0.9954,0.9905,0.8769
HAPV3,103,-0.1896,0.0949,55.3398,0.4385,0.443,-0.1896,0.0949,55.3398,0.0,1.0,0.0,0.1385,0.3791,0.973,0.9732,0.0
HBOR3,103,-0.3629,0.0362,82.5243,0.839,1.0558,-0.3629,0.0362,82.5243,0.0,1.0,0.0,-0.042,-0.0524,0.9813,0.9829,0.0149
HBRE3,103,0.0072,0.1665,18.4466,0.6496,0.4204,0.0072,0.1665,18.4466,0.0,1.0,0.0,0.0167,0.0986,0.9967,0.9975,0.7687
HBTS5,103,-0.1215,0.2544,72.8155,0.266,0.0676,-0.1215,0.2544,72.8155,0.0,1.0,0.0,0.0366,0.1063,0.9838,0.9837,0.9888
HETA4,103,-0.0228,0.0529,77.6699,1.0307,1.0452,-0.0228,0.0529,77.6699,0.0,1.0,0.0,0.2229,0.1969,0.9228,0.9228,0.9888
HOOT4,103,-0.0063,0.1194,58.2524,0.7684,0.5293,-0.0063,0.1194,58.2524,0.6936,0.9146,0.0,0.1566,0.1767,0.9539,0.8161,0.9366
HYPE3,103,0.1452,0.1256,78.6408,0.9021,0.3977,0.1452,0.1256,78.6408,0.0,1.0,0.0,-0.1331,-0.1756,0.9935,0.9944,0.0
INEP3,103,-0.0538,0.0541,77.6699,0.836,0.6735,-0.0538,0.0541,77.6699,0.0,1.0,0.0,0.2144,0.1987,0.9611,0.9532,0.3507
INEP4,103,-0.042,0.0423,89.3204,0.4835,0.7775,-0.042,0.0423,89.3204,0.0,1.0,0.0,0.0253,0.0334,0.9737,0.9736,0.4739
IRBR3,103,-0.0414,0.2319,45.6311,0.6029,0.558,-0.0414,0.2319,45.6311,0.0,1.0,0.0,-0.0498,-0.0445,0.9897,0.9906,0.0
